uuid,book,author,title,subtitle,author_1_given_name,author_1_middle_name,author_1_surname,author_2_given_name,author_2_middle_name,author_2_surname
aud:d4a085ad-3458-49ba-92c1-b688014ce6b3,12 Rules for Life: An Antidote to Chaos,['Jordan B. Peterson'],12 rules for life,an antidote to chaos,jordan,b,peterson,,,
aud:9b21efd9-bd5c-4a11-b6d8-c327fcc7e952,21 Lessons for the 21st Century,['Yuval Noah Harari'],21 lessons for the 21st century,,yuval,noah,harari,,,
aud:eef9f489-b3c4-4ff4-a630-9f09059c896c,A Brief History of Time,['Stephen Hawking'],a brief history of time,,stephen,,hawking,,,
aud:3d07f461-5f65-4c7c-bcc2-35176182b8d1,A Slip of the Keyboard,['Terry Pratchett'],a slip of the keyboard,,terry,,pratchett,,,
aud:67962f93-446f-45ec-99ab-97889fe76294,"A Troublesome Inheritance: Genes, Race and Human History",['Nicholas J. Wade'],a troublesome inheritance,genes race and human history,nicholas,j,wade,,,
aud:a0a15079-a745-43b8-b913-a98a44b0e437,A Whole New Mind: Why Right-Brainers Will Rule the Future,['Daniel H. Pink'],a whole new mind,why rightbrainers will rule the future,daniel,h,pink,,,
aud:a2f5f910-6485-45e9-a7eb-3c545b507745,Algorithms to Live By: The Computer Science of Human Decisions,['Brian Christian'],algorithms to live by,the computer science of human decisions,brian,,christian,,,
aud:858bc15e-88cf-41ac-9038-8a14b02a75de,All You Want To Know About Giants Of Philosophy: All You Want To Know Series,['Knowledge Products'],all you want to know about giants of philosophy,all you want to know series,,,products,,,
aud:1befcb3f-6f0e-46c7-a363-75edbb4e7442,Anything You Want,['Derek Sivers'],anything you want,,derek,,sivers,,,
aud:63996fbc-0a23-4e6c-8a44-7236719a7c6d,Astrophysics for People in a Hurry,['Neil deGrasse Tyson'],astrophysics for people in a hurry,,neil,degrasse,tyson,,,
aud:381c1a17-0c50-4a2d-b915-38977a5079b5,Aware: The Science and Practice of Presence--A Complete Guide to the Groundbreaking Wheel of Awareness Meditation Practice,['Daniel J. Siegel'],aware,the science and practice of presencea complete guide to the groundbreaking wheel of awareness meditation practice,daniel,j,siegel,,,
aud:d9163176-b7fc-48e0-9807-3c898587047f,Bad Blood: Secrets and Lies in a Silicon Valley Startup,['John Carreyrou'],bad blood,secrets and lies in a silicon valley startup,john,,carreyrou,,,
aud:483b69a1-88a0-4599-85b0-0a8448c4e8b8,Be Obsessed or Be Average,['Grant Cardone'],be obsessed or be average,,grant,,cardone,,,
aud:11700cc3-47e6-40dc-9fdd-e990446b5eb5,Behave: The Biology of Humans at Our Best and Worst,['Robert M. Sapolsky'],behave,the biology of humans at our best and worst,robert,m,sapolsky,,,
aud:7d7fed71-90ce-4ca5-8a07-be88fe5fc991,Big Magic: Creative Living Beyond Fear,['Elizabeth Gilbert'],big magic,creative living beyond fear,elizabeth,,gilbert,,,
aud:6366b46f-981a-4d85-8e76-6252617b3c86,Blink: The Power of Thinking Without Thinking,['Malcolm Gladwell'],blink,the power of thinking without thinking,malcolm,,gladwell,,,
aud:b7dd6ffe-1a07-457b-9b16-0fdbcd19582c,"Blockchain Revolution: How the Technology Behind Bitcoin Is Changing Money, Business, and the World",['Don Tapscott'],blockchain revolution,how the technology behind bitcoin is changing money business and the world,don,,tapscott,,,
aud:e4cde621-1846-408c-a06a-97838571e765,Born a Crime: Stories From a South African Childhood,['Trevor Noah'],born a crime,stories from a south african childhood,trevor,,noah,,,
