uuid,book,author,title,subtitle,author_1_given_name,author_1_middle_name,author_1_surname,author_2_given_name,author_2_middle_name,author_2_surname
bot:064394ec-b90e-4248-ab6a-90c49a20f67b,10% Happier,['Dan Harris'],10 happier,,dan,,harris,,,
bot:212ffe65-f4b5-4cdf-b994-52caec7d9f12,100 Secrets of the Art World,"['Thomas Girst', 'Magnus Resch']",100 secrets of the art world,,thomas,,girst,magnus,,resch
bot:aab6b6de-6b19-4237-9e1d-5d4e05231e04,101 Knife Designs: Practical Knives for Daily Use,['Murray Carter'],101 knife designs,practical knives for daily use,murray,,carter,,,
bot:843daf9d-05bc-4df1-9c89-0f5ef6c559a6,12 Rules for Life,['Jordan Peterson'],12 rules for life,,jordan,,peterson,,,
bot:cdcb29bd-9786-4482-9fa9-e4a71e422aaa,13 Secrets for Speaking Fluent Japanese,['Giles Murray'],13 secrets for speaking fluent japanese,,giles,,murray,,,
bot:76dd57b4-8667-4083-aa64-c73242a08f74,1984,['George Orwell'],1984,,george,,orwell,,,
bot:563a8a54-e168-4971-907c-c275fe64abf5,21 Lessons for the 21st Century,['Yuval Noah Harari'],21 lessons for the 21st century,,yuval,noah,harari,,,
bot:3c71bfcd-caca-4219-b9b7-1bcf4281d031,300 Arguments,['Sarah Manguso'],300 arguments,,sarah,,manguso,,,
bot:682a5a5d-6525-468d-8b2a-a3f50044ed57,32 Yolks: From My Mother's Table to Working the Line,"['Eric Ripert', 'Veronica Chambers']",32 yolks,from my mothers table to working the line,eric,,ripert,veronica,,chambers
bot:2d2be14d-de90-40a4-b5e9-0b5902a99796,59 Seconds: Change Your Life in Under a Minute,['Richard Wiseman'],59 seconds,change your life in under a minute,richard,,wiseman,,,
bot:062307e6-116f-4711-ab35-3ad7803da87d,8 Weeks to Optimum Health,['Dr. Andrew Weil'],8 weeks to optimum health,,andrew,,weil,,,
bot:8f39875c-3aef-4cc5-a623-18582cddecc7,A Christmas Carol,['Charles Dickens'],a christmas carol,,charles,,dickens,,,
bot:07465952-2be1-4409-8489-8768ad00f8a9,A Collection of Essays,['George Orwell'],a collection of essays,,george,,orwell,,,
bot:69a4c554-4750-4c4b-9ab1-8c4b771d869b,A Complaint Free World,['Will Bowen'],a complaint free world,,will,,bowen,,,
bot:3636c0bc-50f2-4ad6-b723-2f6f128da812,A Confederacy of Dunces,['John Kennedy Toole'],a confederacy of dunces,,john,kennedy,toole,,,
bot:a798d5dd-bbd2-405f-bec4-c023ca9049bb,A Curious Discovery: An Entrepreneur's Story,['John S. Hendricks'],a curious discovery,an entrepreneurs story,john,s,hendricks,,,
bot:2c37eaca-4ef5-40f1-90d4-adcde3d48a95,A Curious Mind: The Secret to a Bigger Life,"['Brian Grazer', 'Charles Fishman']",a curious mind,the secret to a bigger life,brian,,grazer,charles,,fishman
bot:54e5cce6-c703-47ee-9a30-ad42e52cbba6,A Dance to the Music of Time,['Anthony Powell'],a dance to the music of time,,anthony,,powell,,,
bot:745b4f8f-17d7-417f-bb29-e1eba48a2fe2,A Fan's Notes,['Frederick Exley'],a fans notes,,frederick,,exley,,,
bot:6abf41f8-9d17-4c76-abda-c54fa4de530b,A Feast of Snakes,['Harry Crews'],a feast of snakes,,harry,,crews,,,
bot:989c23bc-f572-43c0-abaa-ed1ce2993f7e,A Game of Thrones,['George R. R. Martin'],a game of thrones,,george,r r,martin,,,
bot:824cfada-8a94-4949-ad97-1fcf997a8781,"A Geek in Japan: Discovering the Land of Manga, Anime, Zen, and the Tea Ceremony",['Hector Garcia'],a geek in japan,discovering the land of manga anime zen and the tea ceremony,hector,,garcia,,,
bot:8c120408-500f-437f-9f3b-55e9ac754895,A Gentleman in Moscow,['Amor Towles'],a gentleman in moscow,,amor,,towles,,,
bot:7a2d17ed-a45d-41e1-bc7a-139c0ad570cb,"A Good Man: Rediscovering My Father, Sargent Shriver",['Mark Shriver'],a good man,rediscovering my father sargent shriver,mark,,shriver,,,
bot:11e206ac-4a94-4e3f-9bc7-344b37c8c942,A Guide to the Good Life,['William B. Irvine'],a guide to the good life,,william,b,irvine,,,
bot:eb6a7bf5-55fb-426a-bc5a-90d30802d48c,A History of Western Philosophy,['Bertrand Russell'],a history of western philosophy,,bertrand,,russell,,,
bot:e93b3159-799a-44b7-9716-60f9b8977b5e,A History of World Agriculture: From the Neolithic Age to the Current Crisis,"['Marcel Mazoyer', 'Laurence Roudart']",a history of world agriculture,from the neolithic age to the current crisis,marcel,,mazoyer,laurence,,roudart
bot:6ca78b2f-b245-454c-876f-75ae580f6a60,A Hunger Artist,['Franz Kafka'],a hunger artist,,franz,,kafka,,,
bot:51ed8583-d386-4f7a-8787-c84f1f27af6c,A Lamp in the Darkness,['Jack Kornfield'],a lamp in the darkness,,jack,,kornfield,,,
bot:c55145a8-a55c-460b-9110-76f9785fa747,A Little Life,['Hanya Yanagihara'],a little life,,hanya,,yanagihara,,,
bot:a0ba390f-13de-4d61-9781-9b598be08dc9,A Madman Dreams of Turing Machines,['Janna Levin'],a madman dreams of turing machines,,janna,,levin,,,
bot:db071f3d-3e9f-47be-bec1-806b0fc85968,A Magic Web: The Forest of Barro Colorado Island,"['Christian Ziegler', 'Egbert G. Leigh']",a magic web,the forest of barro colorado island,christian,,ziegler,egbert,g,leigh
bot:efdb932a-b92c-48bf-906c-fa7ee5deff77,A Mind at Home with Itself,['Byron Katie'],a mind at home with itself,,byron,,katie,,,
bot:b1361b82-833d-42a6-a550-bee920c574ca,A Moveable Feast,['Ernest Hemingway'],a moveable feast,,ernest,,hemingway,,,
bot:440b49e0-5061-4d54-a47d-f67b846d5225,A New Kind of Science,['Stephen Wolfram'],a new kind of science,,stephen,,wolfram,,,
bot:df3a6833-8fd5-4b18-9214-7fe9e85a2ae3,A Path with Heart,['Jack Kornfield'],a path with heart,,jack,,kornfield,,,
bot:26ee0cb0-46da-4a59-874e-3688253b7f40,A Pattern Language,"['Christopher Alexander', 'Sara Ishikawa', 'Murray Silverstein']",a pattern language,,christopher,,alexander,sara,,ishikawa
bot:af12a1a7-ca75-49d8-ac8b-8144b6736010,A People's History of the United States,['Howard Zinn'],a peoples history of the united states,,howard,,zinn,,,
bot:cec45586-8923-4e4f-be01-0a34f0af1066,A Portrait of Dorian Yates,['Dorian Yates'],a portrait of dorian yates,,dorian,,yates,,,
bot:f2d35dce-a9e4-4245-a5ec-0faf24a06eac,A Random Walk Down Wall Street,['Burton G. Malkiel'],a random walk down wall street,,burton,g,malkiel,,,
bot:1a075015-31c5-45c0-b15e-cb148948fab4,A Rap on Race,['James Baldwin'],a rap on race,,james,,baldwin,,,
bot:3dc2953f-07cf-479b-b3b8-8aa34b4c0864,A Rebounder's Workshop,['George Raveling'],a rebounders workshop,,george,,raveling,,,
bot:7bde1e61-9d12-4afd-aabb-ea1225334c78,A Return to Cooking,['Michael Ruhlman'],a return to cooking,,michael,,ruhlman,,,
bot:856e2472-5779-4692-bbf8-5dc60503c6cf,A River Runs Through It,['Norman Maclean'],a river runs through it,,norman,,maclean,,,
bot:49acc4f3-e9e4-450c-8803-4a56c5db49ae,A Sand County Almanac,['Aldo Leopold'],a sand county almanac,,aldo,,leopold,,,
bot:5a74643f-be6b-4864-992d-b2daec799a3e,A Second Chance,['Catherine Hoke'],a second chance,,catherine,,hoke,,,
bot:1a9ca4af-bd64-4bef-85ed-912ff9a9e123,A Sense of Where You Are,['John McPhee'],a sense of where you are,,john,,mcphee,,,
bot:2b20f009-a67a-4d15-87c2-d48bb5b413ff,A Short History of Financial Euphoria,['John Kenneth Galbraith'],a short history of financial euphoria,,john,kenneth,galbraith,,,
bot:9d4a9433-215f-41e7-8e49-83b7a37d85de,A Short History of Nearly Everything,['Bill Bryson'],a short history of nearly everything,,bill,,bryson,,,
bot:dc768edc-c84f-4981-aec4-9d8f4be62c37,A Sound of Thunder and Other Stories,['Ray Bradbury'],a sound of thunder and other stories,,ray,,bradbury,,,
bot:6f30856b-63a2-427a-876b-5a590a2c79e8,A Theory of Justice,['John Rawls'],a theory of justice,,john,,rawls,,,
