title,author,file
The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_book_of_joy_lasting_happiness_in_a_changing_world/the_book_of_joy_lasting_happiness_in_a_changing_world.mp3
The Secret Lives of Introverts: Inside Our Hidden World,Jenn Granneman,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_secret_lives_of_introverts_inside_our_hidden_world/the_secret_lives_of_introverts_inside_our_hidden_world.mp3
Find Your Why: A Practical Guide to Discovering Purpose for You and Your Team,Simon Sinek,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/find_your_why_a_practical_guide_to_discovering_purpose_for_you_and_your_team/find_your_why_a_practical_guide_to_discovering_purpose_for_you_and_your_team.mp3
"Outrage, Inc.: How the Liberal Mob Ruined Science, Journalism, and Hollywood",Derek  Hunter,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/outrage_inc._how_the_liberal_mob_ruined_science_journalism_and_hollywood/outrage_inc._how_the_liberal_mob_ruined_science_journalism_and_hollywood.mp3
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/blink_the_power_of_thinking_without_thinking/blink_the_power_of_thinking_without_thinking.mp3
Anything You Want,Derek Sivers,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/anything_you_want/anything_you_want.mp3
The Effective Executive: The Definitive Guide to Getting the Right Things Done,Peter F. Drucker,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_effective_executive_the_definitive_guide_to_getting_the_right_things_done/the_effective_executive_the_definitive_guide_to_getting_the_right_things_done.mp3
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/maps_of_meaning_the_architecture_of_belief/maps_of_meaning_the_architecture_of_belief.mp3
The Almost Nearly Perfect People: Behind the Myth of the Scandinavian Utopia,Michael Booth,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_almost_nearly_perfect_people_behind_the_myth_of_the_scandinavian_utopia/the_almost_nearly_perfect_people_behind_the_myth_of_the_scandinavian_utopia.mp3
Ego Is the Enemy,Ryan Holiday,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/ego_is_the_enemy/ego_is_the_enemy.mp3
A Brief History of Time,Stephen Hawking,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/a_brief_history_of_time/a_brief_history_of_time.mp3
"The Innovators: How a Group of  Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_innovators_how_a_group_of__hackers_geniuses_and_geeks_created_the_digital_revolution/the_innovators_how_a_group_of__hackers_geniuses_and_geeks_created_the_digital_revolution.mp3
The 4-Hour Workweek,Timothy Ferriss,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_4hour_workweek/the_4hour_workweek.mp3
Capital in the Twenty-First Century,Thomas Piketty,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/capital_in_the_twentyfirst_century/capital_in_the_twentyfirst_century.mp3
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/algorithms_to_live_by_the_computer_science_of_human_decisions/algorithms_to_live_by_the_computer_science_of_human_decisions.mp3
