book,author,recommended_by,podcast_number,uuid
The Gift of Fear,Gavin de Becker,Whitney Cummings,454,bot:bb8d12f3-2bd1-40a0-a032-a75995390c01
Getting the Love You Want,Harville Hendrix,Whitney Cummings,454,bot:15bd457f-c481-4769-82bc-83c3fb8d1b4d
Codependent No More,Melody Beattie,Whitney Cummings,454,bot:a5cf7af4-9231-42ac-b484-e42f47c72ca9
Spark,John J. Ratey MD,Kevin Rose,453,bot:8b260b0a-afab-49b1-8625-4404507a838a
The Surrender Experiment,Michael A. Singer,Kevin Rose,453,bot:e0c01a1a-94b0-4927-bb59-1d909b321420
Alice's Adventures in Wonderland,Lewis Carroll,Kevin Rose,453,bot:bf988906-d74d-4c59-98d4-9582e03fa0ff
Attached: The New Science of Adult Attachment and How It Can Help YouFind - and Keep - Love,Amir Levine & Rachel Heller,Sia,452,bot:9d9f56f8-bf88-4bca-b8e1-5f16a6829b57
Reminiscences of a Stock Operator,Edwin Lefevre,Mike Novogratz,451,bot:25efee3e-7bef-431a-a086-9aa1a52b8eee
Confessions,Saint Augustine,Mike Novogratz,451,bot:25b44480-d1f3-4bb3-be25-a0b791b6140c
The Fear Book,Cheri Huber,Neil Strauss,450,bot:1414bfec-a40a-4019-86f1-5b7ddf7a2ec7
Be the Person You Want to Find,Cheri Huber,Neil Strauss,450,bot:05ff48ca-ea75-41e5-94b5-6bebbf3bcf7b
Facing Codependence,Pia Mellody,Neil Strauss,450,bot:21271671-e369-4057-b9f0-bc15a9a280b7
Facing Love Addiction,Pia Mellody,Neil Strauss,450,bot:3d5b1fa7-3800-471f-a9b9-d29f037bfaaa
Silently Seduced,Kenneth M. Adams,Neil Strauss,450,bot:ebbca586-0fdb-424a-a397-58781c0f8b0b
Under Saturn's Shadow,James Hollis,Neil Strauss,450,bot:9ac4499e-6e35-46c0-a26e-f7954f46daf8
The Eden Project,James Hollis,Neil Strauss,450,bot:8922f63f-9c5f-488b-9c40-a4002983beb6
Chess for Success,Maurice Gordon Ashley,Maurice Ashley,449,bot:7057f3f8-1331-4eda-ae3d-ff59916b3710
Aikido and the Dynamic Sphere,Adele Westbrook & Oscar Ratti,Maurice Ashley,449,bot:4670e13a-82fd-42fa-9fce-885bea7ec321
Play Winning Chess,Yasser Seirawan,Maurice Ashley,449,bot:33af9c63-4508-45ea-b126-0086450a875b
Winning Chess Openings,Yasser Seirawan,Maurice Ashley,449,bot:0478cff6-b75e-4cae-b0c9-7bf5d4c5c1de
