uuid,book,author,num_authors,title,subtitle,author_1_given_name,author_1_middle_name,author_1_surname,author_2_given_name,author_2_middle_name,author_2_surname
bot:0064c59e-fc4a-4255-945c-5ede8ce020e0,In Praise of Shadows,['Junichiro Tanizaki'],1,in praise of shadows,,junichiro,,tanizaki,,,
bot:00823451-fa04-4ba1-9452-5df7daa16612,Oranges,['John McPhee'],1,oranges,,john,,mcphee,,,
bot:00844fa2-9a46-4c21-9cd6-4c06d42f1686,Poor Charlie's Almanack,['Charles T. Munger'],1,poor charlies almanack,,charles,t,munger,,,
bot:008e53b1-6ef3-4c73-ae85-da0203562058,Awareness,['Anthony de Mello'],1,awareness,,anthony,,de mello,,,
bot:00c8d9d8-f275-44c7-b3a4-7a3697eaa438,The ONE Thing: The Surprisingly Simple Truth Behind Extraordinary Results,"['Gary Keller', 'Jay Papasan']",2,the one thing,the surprisingly simple truth behind extraordinary results,gary,,keller,jay,,papasan
bot:00d46fb6-dca3-4fa1-83a0-dafdc3a0daa0,"Eat, Pray, Love",['Elizabeth Gilbert'],1,eat pray love,,elizabeth,,gilbert,,,
bot:011ccb93-46d1-46e8-ac2b-4032f6f76f32,"Humiliation: And Other Essays on Honor, Social Discomfort, and Violence",['William Ian Miller'],1,humiliation,and other essays on honor social discomfort and violence,william,ian,miller,,,
bot:0120b65e-12e5-4b1f-873d-51fbe9bb0f21,How to Live: Or A Life of Montaigne in One Question and Twenty Attempts at an Answer,['Sarah Bakewell'],1,how to live,or a life of montaigne in one question and twenty attempts at an answer,sarah,,bakewell,,,
bot:0161a2d1-65a9-44df-96dd-ad9c70b464e9,Snow Crash,['Neal Stephenson'],1,snow crash,,neal,,stephenson,,,
bot:01c80d2e-ac8e-4545-8198-559a9cadac03,The Namesake,['Jhumpa Lahiri'],1,the namesake,,jhumpa,,lahiri,,,
bot:01d4256d-f575-43eb-b40e-901562acb739,The Lies of Locke Lamora,['Scott Lynch'],1,the lies of locke lamora,,scott,,lynch,,,
bot:01e1fb07-1454-4838-bfe7-1fa20919a593,The Intelligent Investor,"['Benjamin Graham', 'Jason Zweig']",2,the intelligent investor,,benjamin,,graham,jason,,zweig
bot:023d45c2-fcfb-49ca-9693-667bd22c52ae,What Smart Students Know,['Adam Robinson'],1,what smart students know,,adam,,robinson,,,
bot:023e8bc1-2559-4796-bd49-0ff1c6b41da6,"Surely You're Joking, Mr. Feynman!","['Richard P. Feynman', 'Ralph Leighton']",2,surely youre joking mr feynman,,richard,p,feynman,ralph,,leighton
bot:0247b7ee-5461-4b32-a7f9-fe8a59a4274e,The Baron in the Trees,['Italo Calvino'],1,the baron in the trees,,italo,,calvino,,,
bot:0264ae9e-d271-4572-ba63-41f88e79ef01,"Zero to One: Notes on Startups, or How to Build the Future","['Peter Thiel', 'Blake Masters']",2,zero to one,notes on startups or how to build the future,peter,,thiel,blake,,masters
bot:02b5fe0b-84d8-4aa0-8f2d-9b002acfa12a,Fooled by Randomness,['Nassim Nicholas Taleb'],1,fooled by randomness,,nassim,nicholas,taleb,,,
